Variable,DataType,NAnum,uniqueNum,min,max,mean,Definition,examples
90041_mi,numeric,1177,5538,0,7809.39812441781,823.411490108206,Distance between 90041 and billing zip code,8.60725613319031//8.87276850260775//14.1121390123524//26.1358137068733//30.4346415537823
91601_mi,numeric,1177,5543,0,7818.10471625076,827.269451606767,Distance between 91601 and billing zip code,10.9585033337931//17.3128968701819//18.5071571756961//27.0011802112751//36.3946006772984
92122_mi,numeric,1177,5549,0,7778.66382468084,854.542522676364,Distance between 92122 and billing zip code,76.7127587425843//91.5064023283584//96.109994186416//100.492800923728//102.04126253958
94607_mi,numeric,1177,5548,0,7943.74864680748,999.365471407741,Distance between 944607 and billing zip code,345.138711879187//348.467633203767//351.040529995193//356.534872052948//370.439711249539
academic_condition,character,0,2,false,true,,If student was admitted with an academic condition - usually pertaining to <3.0 undergradute work,false//true//NA//NA//NA
account_id,character,0,17505,0010c00001sFa2zAAC,001a000001ZyNjZAAV,,Unique identifier of account linked to opportunity file,001a000001Hv8beAAB//001a000001Hv8cmAAB//001a000001J4NeYAAV//001a000001J4NgvAAF//001a000001J4NikAAF
admission_advisor_assignment,character,16090,9,Currently Enrolled,Yessenia Carranza,,Admission Advisor assigned to applicant,Leonard Slutsky//Mallory Ilizaliturri//Mayra Gomez//Yessenia Carranza//NA
admissions_term_code,character,9953,25,201101,201803,,"Term of admission - year followed by 1, 2, or 3 to indicate, spring, summer, or fall",201303//201403//201503//201801//NA
age,numeric,2371,59,4,82,32.3817515432099,Age of applicant as calculated from their birth date to present,29//30//35//37//40
application_cleaned_date,POSIXct|POSIXt,11310,593,1361923200,1533600000,1432670493.63375,Date their application was processed after receiving,1364169600//1366243200//1366675200//1368489600//1438646400
application_received_date,POSIXct|POSIXt,5748,1577,1326412800,1528675200,1430675884.68173,Date their application was received,1357516800//1357862400//1362960000//1363219200//1363305600
application_term,character,3089,15,Fall 2013,Summer 2018,,Term applied to program,Fall 2013//Fall 2014//Fall 2015//Fall 2016//Fall 2018
billing_country,character,17618,12,CA,USA,,Billing country,China//South Korea//United States//United States of America//NA
billing_state/province,character,339,157,84003,ZY,,Billing state or province,CA//California//Florida//Indiana//NA
billing_zip/postal_code,character,240,6250,0,zipcode,,Billing zip or postal code,90007//90059//90274//91007//92649
birth_date,POSIXct|POSIXt,2371,7450,-1070409600,1391212800,492082533.333333,Date of birth of applicant,263865600//396057600//562896000//592012800//592358400
campus,character,11098,6,a0Ba000000IWWybEAH,a0Ba000000IWWzAEAX,,Campus of study of applicant,a0Ba000000IWWybEAH//a0Ba000000IWWyqEAH//a0Ba000000IWWyvEAH//a0Ba000000IWWz0EAH//a0Ba000000IWWzAEAX
campus_-_cleaned,character,11074,6,Orange County Academic Center,Virtual Academic Center,,Campus of study of applicant - duplicate,Orange County Academic Center//San Diego Academic Center//Skirball Academic Center//University Park Campus//Virtual Academic Center
concentration/department_interest,character,11679,37,AHA Adults and Healthy Aging,Workplace,,"Department of student (there are three within the MSW program - CYF, AMHW,SCI) unofficial (off application)",COPA//Family and Children//Mental Health//Social Work and Business//NA
current_term,character,9942,3,201802,201803,,Code of current term if student is enrolled,201802//201803//NA//NA//NA
date_acceptance_letter_sent,POSIXct|POSIXt,12064,253,1361232000,1530057600,1436480486.63594,Date student was sent their decision letter,1365120000//1367539200//1368748800//1370563200//1439510400
date_returned_from_first_review,POSIXct|POSIXt,11832,599,1358035200,1529971200,1434781478.77196,Date first reviewer finished file review,1362268800//1364688000//1366243200//1367884800//1369958400
date_returned_from_second_review,POSIXct|POSIXt,14863,435,1360540800,1935360000,1426804320,Date second reviewer finished file review,1363910400//1364860800//1367193600//1368057600//NA
date_sent_for_gia_review,POSIXct|POSIXt,16206,91,1479168000,1529366400,1505074715.4339,Date application file was sent to Graduate Admissions for review,1488240000//1512518400//1513036800//1520985600//NA
date_sent_to_first_review,POSIXct|POSIXt,11791,457,1325635200,1529452800,1434053307.2407,Date application was sent to first reviewer,1362096000//1364515200//1365465600//1367884800//1369094400
date_sent_to_second_review,POSIXct|POSIXt,14782,348,1360022400,1529971200,1426316066.47564,Date application was sent to second reviewer,1363305600//1364774400//1366588800//1368057600//NA
decision,character,11694,9,1st Tier Admit,Wait List,,The decision rendered on the application file,2nd Tier Admit//Deny//Exit//Exit to VAC//Wait List
